"","name","group"
"1","ABCG2",1
"2","ADORA1",1
"3","APOE",1
"4","ASNA1",1
"5","ATP10B",1
"6","ATP1A3",1
"7","BST1",1
"8","CABIN1",1
"9","CAPS2",1
"10","CCSER1",1
"11","CD36",1
"12","CLU",1
"13","COL15A1",1
"14","COMT",1
"15","CSMD1",1
"16","DNAJC6",1
"17","EIF4G1",1
"18","FAM13A-AS1",1
"19","FAM83A",1
"20","GAK",1
"21","GPRIN3",1
"22","HERC3",1
"23","HERC5",1
"24","HTRA2",1
"25","KIF21A",1
"26","MAP3K6",1
"27","MAPT",1
"28","MS4A5",1
"29","NAP1L5",1
"30","NUCKS1",1
"31","PARK7",1
"32","PIGY",1
"33","PINK1",1
"34","PKD2",1
"35","PLA2G6",1
"36","PODXL",1
"37","POLG",1
"38","PPM1K",1
"39","PRDM2",1
"40","PRNP",1
"41","PSEN1",1
"42","PTCHD3",1
"43","PTEN",1
"44","RAB39B",1
"45","RFPL2",1
"46","RIC3",1
"47","SCN3A",1
"48","SLC2A13",1
"49","SLC50A1",1
"50","SPG7",1
"51","SREBF1",1
"52","SYNJ1",1
"53","TARDBP",1
"54","TH",1
"55","TNR",1
"56","UHRF1BP1L",1
"57","UQCRC1",1
"58","USP40",1
"59","VAPB",1
"60","VPS13C",1
"61","ZNF543",1
