"","name","group"
"1","APOE",2
"2","ASNA1",1
"3","ATOH1",1
"4","ATP1A3",1
"5","BST1",1
"6","CABIN1",1
"7","CAPS2",4
"8","CCSER1",1
"9","CLU",3
"10","COL15A1",3
"11","COL6A5",1
"12","CSMD1",1
"13","DARS",1
"14","DNAJC6",1
"15","EIF4G1",1
"16","FAM13A",1
"17","FAM13A-AS1",1
"18","FAM83A",4
"19","FBXO7",1
"20","GBA",1
"21","GCH1",3
"22","GIGYF2",1
"23","GPATCH2L",1
"24","GPRIN3",1
"25","GRN",1
"26","HERC3",1
"27","KALRN",1
"28","KIF21A",1
"29","MAPT",1
"30","MS4A6A",2
"31","NAP1L5",1
"32","PARK7",1
"33","PCDHA9",1
"34","PICALM",1
"35","PKD2",1
"36","PLA2G6",2
"37","PPM1K",1
"38","PRDM2",1
"39","PRNP",1
"40","PTPRH",1
"41","RAB39B",1
"42","RFPL2",1
"43","RIC3",1
"44","RIT2",1
"45","SCARF2",1
"46","SCN3A",1
"47","SLC18A2",1
"48","SLC30A10",1
"49","SLC50A1",1
"50","SPG7",1
"51","SPPL2C",1
"52","SYNJ1",1
"53","TBC1D24",1
"54","TH",1
"55","TMEM230",1
"56","TNR",1
"57","UHRF1BP1L",1
"58","USP24",1
"59","USP40",1
"60","VAPB",2
"61","WFS1",1
"62","ZNF516",1
"63","ZNF543",1
