"","var1","var2","cor","statistic","p","method"
"1","ABCG2","ABCG2",1,1.07580611086178e-13,1.16e-126,"Spearman"
"2","ABCG2","ANKRD30A",0.48,506.407378412183,0.0451,"Spearman"
"3","ABCG2","APOE",0.78,216.190562276338,0.000149,"Spearman"
"4","ABCG2","ASNA1",0.51,478.916003629562,0.0322,"Spearman"
"5","ABCG2","ATP10B",-0.57,1525.77583917549,0.0126,"Spearman"
"6","ABCG2","BST1",0.55,434.454775092863,0.0176,"Spearman"
"7","ABCG2","CCSER1",-0.58,1529.81776904246,0.0119,"Spearman"
"8","ABCG2","CHCHD2",0.52,464.769249095158,0.0268,"Spearman"
"9","ABCG2","CLU",-0.5,1448.97917170301,0.0366,"Spearman"
"10","ABCG2","COL15A1",0.67,323.301703751114,0.00253,"Spearman"
"11","ABCG2","COMT",0.61,379.888721888731,0.00744,"Spearman"
"12","ABCG2","CSMD1",-0.72,1669.26434945302,0.000704,"Spearman"
"13","ABCG2","DGKQ",0.67,321.280738817628,0.00243,"Spearman"
"14","ABCG2","DNAJC6",-0.68,1626.8240858498,0.00195,"Spearman"
"15","ABCG2","EIF4G1",0.51,470.832143895617,0.0291,"Spearman"
"16","ABCG2","FAM83A",0.68,310.285525449622,0.00191,"Spearman"
"17","ABCG2","GAK",0.62,369.7838972213,0.00623,"Spearman"
"18","ABCG2","GPATCH2L",-0.5,1457.06303143695,0.0331,"Spearman"
"19","ABCG2","GPRIN3",-0.57,1519.71294437503,0.0139,"Spearman"
"20","ABCG2","HERC5",0.47,513.27240749883,0.0489,"Spearman"
"21","ABCG2","HTRA2",0.72,268.735650546983,0.000704,"Spearman"
"22","ABCG2","KALRN",-0.62,1570.23706771219,0.00601,"Spearman"
"23","ABCG2","KIF21A",-0.47,1424.72759250117,0.0489,"Spearman"
"24","ABCG2","LRP10",-0.5,1455.04206650347,0.0339,"Spearman"
"25","ABCG2","MCCC1",0.69,305.113019349737,0.0017,"Spearman"
"26","ABCG2","MS4A5",-0.47,1423.48433797033,0.0496,"Spearman"
"27","ABCG2","NAP1L5",-0.68,1630.86601571678,0.00178,"Spearman"
"28","ABCG2","NUCKS1",0.58,408.18223095754,0.0119,"Spearman"
"29","ABCG2","PCDHA9",-0.61,1556.09031317778,0.0077,"Spearman"
"30","ABCG2","PIGY",0.57,413.867194406053,0.013,"Spearman"
"31","ABCG2","PINK1",-0.74,1681.39013905394,0.000509,"Spearman"
"32","ABCG2","PLA2G6",-0.66,1604.59347158145,0.00312,"Spearman"
"33","ABCG2","PODXL",0.77,222.253457076797,0.000182,"Spearman"
"34","ABCG2","POLG",0.54,444.559599760294,0.0204,"Spearman"
"35","ABCG2","PRNP",-0.77,1719.78847279018,0.000159,"Spearman"
"36","ABCG2","PSEN1",-0.7,1651.07566505164,0.00111,"Spearman"
"37","ABCG2","PTCHD3",-0.59,1544.19875212275,0.0094,"Spearman"
"38","ABCG2","PTEN",-0.63,1578.32092744613,0.00518,"Spearman"
"39","ABCG2","PZP",0.51,477.811463713777,0.0318,"Spearman"
"40","ABCG2","RAB39B",-0.47,1426.74855743466,0.0478,"Spearman"
