"","var1","var2","cor","statistic","p","method"
"1","ABCG2","ABCG2",1,0,0,"Spearman"
"2","ABCG2","ADORA1",0.83,160.329190757941,1.66e-05,"Spearman"
"3","ABCG2","CHCHD2",0.65,334.412714708046,0.00318,"Spearman"
"4","ABCG2","EIF4G1",0.61,376.776396205629,0.00705,"Spearman"
"5","ABCG2","FAM13A-AS1",-0.54,1489.07453531181,0.0216,"Spearman"
"6","ABCG2","FAM71A",-0.56,1514.95233143723,0.0149,"Spearman"
"7","ABCG2","FAM83A",0.52,467.698436721668,0.0279,"Spearman"
"8","ABCG2","GAK",0.56,430.888197567552,0.0167,"Spearman"
"9","ABCG2","GRAMD1C",0.47,511.053829214844,0.0476,"Spearman"
"10","ABCG2","HLA-DRA",-0.61,1564.45803108808,0.00666,"Spearman"
"11","ABCG2","MNS1",0.48,505.041406841297,0.0444,"Spearman"
"12","ABCG2","PARK7",0.59,394.81366332627,0.00956,"Spearman"
"13","ABCG2","PODXL",0.81,180.370598669764,3.97e-05,"Spearman"
"14","ABCG2","PRB3",0.5,487.156276194659,0.0358,"Spearman"
"15","ABCG2","PTEN",-0.53,1479.0538313559,0.0248,"Spearman"
"16","ABCG2","RFPL2",-0.48,1437.48896718397,0.0421,"Spearman"
"17","ABCG2","SMARCAD1",0.66,326.672876426072,0.00272,"Spearman"
"18","ABCG2","SPG7",0.5,480.991717347109,0.0331,"Spearman"
"19","ABCG2","SPPL2C",-0.47,1424.27822732491,0.0491,"Spearman"
"20","ABCG2","SVOPL",0.59,395.856880426791,0.00972,"Spearman"
"21","ABCG2","SYNJ1",-0.57,1517.13250638836,0.0144,"Spearman"
"22","ABCG2","TARDBP",0.59,396.817804117452,0.00988,"Spearman"
"23","ABCG2","TIGD2",0.58,402.830226490999,0.0109,"Spearman"
"24","ABCG2","TWNK",0.53,458.946168644104,0.0248,"Spearman"
"25","ABCG2","VAPB",0.65,338.697721173166,0.00347,"Spearman"
"26","ABCG2","ZNF543",-0.47,1424.94202999397,0.0488,"Spearman"
"27","ADH1C","ADH1C",1,0,0,"Spearman"
"28","ADH1C","DARS",0.52,468.754033604602,0.0283,"Spearman"
"29","ADH1C","MAP3K6",-0.47,1429.22628908377,0.0464,"Spearman"
"30","ADH1C","OGN",0.89,104.621668030596,6.58e-07,"Spearman"
"31","ADH1C","SCN3A",0.49,493.381527334837,0.0386,"Spearman"
"32","ADH1C","SLC2A13",0.52,465.675596888323,0.0272,"Spearman"
"33","ADH1C","SREBF1",-0.53,1478.48127654424,0.025,"Spearman"
"34","ADORA1","ABCG2",0.83,160.329190757941,1.66e-05,"Spearman"
"35","ADORA1","ADORA1",1,0,1.06e-05,"Spearman"
"36","ADORA1","CABIN1",-0.48,1432,0.0467,"Spearman"
"37","ADORA1","CHCHD2",0.63,353.817451238811,0.00465,"Spearman"
"38","ADORA1","COL15A1",0.49,492,0.0398,"Spearman"
"39","ADORA1","EIF4G1",0.68,310,0.00251,"Spearman"
"40","ADORA1","FAM13A-AS1",-0.56,1514,0.0168,"Spearman"
"41","ADORA1","FAM83A",0.6,386.547658086696,0.00833,"Spearman"
"42","ADORA1","GAK",0.57,414,0.0145,"Spearman"
"43","ADORA1","GRAMD1C",0.58,410,0.0137,"Spearman"
"44","ADORA1","HLA-DRA",-0.63,1577.25673012383,0.00529,"Spearman"
"45","ADORA1","HTRA2",0.48,506,0.0467,"Spearman"
"46","ADORA1","MNS1",0.48,508,0.0478,"Spearman"
"47","ADORA1","NAP1L5",-0.59,1536,0.0122,"Spearman"
"48","ADORA1","PARK7",0.73,260,0.000819,"Spearman"
"49","ADORA1","PCDHA9",-0.66,1608,0.0037,"Spearman"
"50","ADORA1","PODXL",0.77,220,0.000258,"Spearman"
"51","ADORA1","PRMT3",0.6,384,0.00929,"Spearman"
"52","ADORA1","PTEN",-0.67,1618,0.00306,"Spearman"
"53","ADORA1","PTPRH",-0.67,1614,0.00331,"Spearman"
"54","ADORA1","RFPL2",-0.62,1566.89724414905,0.00638,"Spearman"
"55","ADORA1","SCARF2",0.62,368,0.00719,"Spearman"
"56","ADORA1","SCN3A",-0.5,1458,0.0346,"Spearman"
"57","ADORA1","SLC2A13",-0.54,1492,0.0226,"Spearman"
