"","genes","park2_pd1np_1","park2_pd1np_2","park2_pd1np_3","park2_pd2np_1","park2_pd2np_2","park2_pd2np_3","park2_pd3np_1","park2_pd3np_2","park2_pd3np_3","park2_pd2dn_1","park2_pd2dn_2","park2_pd2dn_3","park2_pd1dn_1","park2_pd1dn_2","park2_pd1dn_3","park2_pd3dn_1","park2_pd3dn_2","park2_pd3dn_3"
"1","ABCG2",0.041345,0.046356,0.037134,1.332311,1.238555,1.212055,0.45986,0.654347,0.753882,0.340199,0.034919,0,0,0.049431,0,0.019769,0,0
"2","ADH1C",0,0,0,0.288076,0.295488,0.500819,0.049088,0,0,0,0,0,0,0.065537,0,0.781901,0.522585,0.649497
"3","ADORA1",67.534037,70.322276,66.356013,10.864715,12.202677,9.060383,2.474354,3.052429,2.507302,1.585478,1.349308,2.07647,6.288542,7.767228,8.242853,1.482965,1.695037,1.472471
"4","ANKRD30A",0.013359,0.014978,0.017997,0.026419,0.021669,0.030599,0,0.012664,0,0,0,0,0,0,0,0,0,0.02159
"5","APOE",154.901756,170.491062,174.505065,285.250874,291.11429,263.348511,231.889681,241.818823,214.72503,25.193903,31.526803,26.286551,146.817134,148.955148,142.247319,138.60349,119.373874,111.62075
"6","ASNA1",111.152244,107.762755,110.391328,95.509629,88.181678,92.508738,90.174926,91.447595,87.437774,61.060022,60.357329,64.515106,67.55457,72.261366,68.318019,78.562242,76.468953,69.871142
"7","ATG4C",7.852925,12.699456,9.062565,13.314256,10.02516,10.61563,10.432702,11.954404,12.774205,11.956071,16.422527,13.041688,9.350774,9.269058,8.514278,8.578741,10.380706,11.236516
"8","ATOH1",0,0,0,0,0,0,5.262312,5.765524,5.885487,0.157782,0.070797,0.458201,0,0,0,1.401706,1.154587,2.122859
"9","ATP10B",0.205865,0.06686,0.09448,0.186562,0.172637,0.101143,0.023589,0.150679,0.154507,0.191319,0.122705,0.493583,0.391249,0.411113,0.348253,0.256605,0.38653,0.298945
"10","ATP13A2",48.360564,44.839023,46.038289,38.801003,33.688819,40.321018,42.960529,41.212716,43.484379,41.72252,33.749051,45.628976,39.37441,38.228027,43.281314,30.977849,56.66007,48.861925
"11","ATP1A3",0.832708,0.65037,0.562278,36.793673,33.882244,36.412417,15.095223,17.307405,17.420982,117.688717,115.534637,115.858143,43.874605,40.859384,34.988707,79.405964,137.012659,127.585312
"12","BST1",12.045434,12.620021,12.210978,8.524031,8.804722,8.403517,6.204617,5.006536,5.190789,1.516356,2.889836,2.734445,3.514322,3.928198,2.72391,1.710207,1.873903,1.618523
"13","BTNL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139299,0
"14","CABIN1",27.271623,26.791327,28.335237,29.881122,26.122918,30.418099,25.88351,25.220365,29.268674,45.917801,43.935587,44.199539,30.18764,31.855441,28.949717,19.118835,32.598762,39.227068
"15","CAPS2",4.449142,4.40436,6.472401,5.608175,7.360857,5.965396,1.88435,3.681666,3.474992,11.687258,13.485354,15.077325,6.673466,7.073989,5.091173,6.638431,9.873392,12.930014
"16","CCSER1",0.068765,0.152029,0.030461,0.21645,0.431168,0.434041,0.306793,0.604407,0.650103,1.174572,1.616415,0.815866,2.017051,2.99613,2.310066,3.436901,3.758255,4.138883
"17","CD36",0.399538,0.321172,0.236899,0.933345,0.840986,0.503322,0.127065,0.144639,0.254136,4.027104,3.981811,3.516805,3.359209,3.288822,3.664308,0.595637,0.630548,0.48176
"18","CEL",2.366634,1.872771,2.771457,2.029212,1.8763,1.795943,1.96666,2.14602,2.101395,0.484427,0.71735,0.562786,2.745392,2.229468,2.305804,0.368948,0.519032,1.164908
"19","CHCHD2",6.89247,6.074099,6.360791,350.37269,343.566979,354.298606,204.430624,192.897634,190.786638,257.975078,244.673712,254.763638,2.712652,2.45624,2.775612,230.340014,177.097562,168.273971
"20","CLU",198.411053,198.080508,210.085887,317.388024,314.511815,306.929242,273.556004,274.964656,280.94902,692.265212,762.732835,615.203898,352.154458,326.349743,351.191368,473.37349,716.25858,610.249573
"21","COL15A1",0.656157,0.663504,0.740997,7.009739,5.223853,4.531596,14.991588,17.923526,21.424877,0.020233,0.109005,0.238537,0.475691,1.058868,1.073673,0.258656,0.618722,0.472783
"22","COL6A5",0.006231,0,0,0,0,0,0.109186,0.029509,0.09498,0,0,0.065259,0.020678,0.022338,0.029392,0.102647,0.019783,0.020134
"23","COMT",14.855695,19.750238,16.115754,18.769175,13.733691,16.906986,19.146466,17.330633,17.357254,2.308087,3.675416,3.865198,2.83806,3.241539,3.64691,2.814007,2.662343,3.099807
"24","CP",178.369727,176.725268,191.102916,0.49844,0.216276,0.129362,0.618399,0.841372,0.809076,2.935935,2.227858,2.029016,0.18771,0.104081,0.098666,1.666152,3.008968,1.383839
"25","CR1",0.051615,0.030018,0,0.025492,0.010855,0.038319,0.07347,0,0,0.062508,0.016944,0.018595,0.011109,0.024019,0.03181,0,0.028844,0.03245
"26","CSMD1",0.297588,0.361317,0.430656,0.072676,0.008489,0.26396,0.014101,0.013391,0.024934,0.678107,1.645911,0.384164,0.578151,1.013179,0.332443,1.151724,2.843845,2.63575
"27","DARS",49.65778,53.155916,50.285255,88.648725,82.692643,81.437852,63.26517,59.781096,64.04916,141.76293,137.952604,146.772994,50.514012,46.675569,47.574984,70.953725,76.02474,75.372277
"28","DCTN1",118.742052,118.383438,119.394007,106.329952,98.461966,107.490588,102.681223,105.08272,107.442272,106.254486,102.221669,106.841491,108.193078,109.794811,109.735561,87.311937,120.950424,125.878451
"29","DGKQ",11.53148,10.698494,11.1797,12.046362,13.835582,12.385673,8.938386,10.006079,8.67837,11.513517,10.010352,10.377153,7.16187,8.311848,6.447249,5.146349,7.924852,6.135612
"30","DIS3",31.294613,31.344508,28.973064,27.175138,24.95235,27.358877,24.976013,23.172494,29.243675,35.744778,35.233416,33.00711,28.023836,29.427647,29.571521,19.724015,28.934032,29.12123
"31","DNAH8",0,0,0,0.004362,0.003577,0.005051,0,0,0,0,0,0,0,0,0,0,0.013995,0.028487
"32","DNAJC13",28.235627,25.099061,25.18334,17.06887,13.801944,15.637639,14.765633,15.345389,19.034931,12.395852,19.305583,14.778184,18.79742,21.488523,20.114738,10.470108,18.026549,18.901898
"33","DNAJC6",11.170053,12.228571,12.090137,9.09567,8.810402,9.329155,4.647985,3.825132,6.741662,20.310128,22.556034,19.509982,14.842751,15.731921,15.346178,11.611404,19.321044,19.907373
"34","DRD4",3.306995,4.664943,2.960775,3.733327,4.376143,3.007037,1.671804,1.764444,1.873522,5.866751,9.551002,5.608959,15.029693,15.32824,16.226246,0.744651,1.902033,0.464682
"35","EIF4G1",264.116957,255.006416,244.986443,210.084026,208.520886,216.557396,297.686004,295.66939,278.964278,88.068932,102.331719,105.234023,153.586746,153.176473,157.476878,129.474479,143.47847,139.401413
"36","ELOA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","FAM13A",14.594328,16.728352,12.722112,15.618949,14.848607,15.544016,10.270883,10.45095,12.747919,18.081389,18.851422,18.951384,9.903919,6.620597,6.438172,10.705881,13.851759,15.398289
"38","FAM13A-AS1",0.149617,0.118524,0.07542,0.380866,0.593935,0.246386,0.277002,0.297281,0.212632,0.50314,0.716213,0.592024,0.835104,0.33038,0.49327,0.160622,0.45487,0.789309
"39","FAM47E",2.773935,1.948957,2.61785,1.615012,1.946441,1.857512,1.897207,1.572222,1.796799,12.53697,15.89509,7.668578,1.767651,2.529918,1.507704,2.819346,2.279016,2.500481
