"","genes","norma1np_1","norma1np_2","norma1np_3","norma3np_1","norma3np_2","norma3np_3","norma2np_1","norma2np_2","norma2np_3","norma2dn_1","norma2dn_2","norma2dn_3","norma3dn_1","norma3dn_2","norma3dn_3","norma1dn_1","norma1dn_2","norma1dn_3"
"1","ABCG2",0.024269,0.068211,0.024703,0.386384,0.023346,0.028216,1.109937,0.774412,0.357571,0.09866,0.139348,0.105142,0.040147,0.020009,0.302131,0,0,0
"2","ADH1C",0,0,0,0,0,0,0,0,0,0,0,0.268367,0,0.119219,0,0,0.139753,0
"3","ADORA1",4.378016,5.39681,6.013833,8.096082,7.106751,8.613151,13.190727,14.009013,15.320453,6.954544,8.011312,6.687097,7.664501,6.471615,7.928564,2.411119,1.906874,2.871948
"4","ANKRD30A",0,0,0,0,0,0,0,0,0,0.02447,0,0.025483,0.01946,0.038794,0.021139,0.045829,0,0
"5","APOE",219.968268,207.720547,220.412433,132.222226,132.434489,120.807642,138.231536,145.978996,151.267539,16.513941,15.330453,15.76104,9.26517,8.478746,8.882537,38.59372,32.776885,31.676761
"6","ASNA1",84.357691,86.529566,97.323643,91.086095,85.435106,79.785756,86.740829,88.063402,92.100517,80.053768,83.959158,75.31279,141.151858,150.717231,146.010373,32.644662,30.785894,33.544826
"7","ATG4C",9.362078,5.898864,6.517964,12.017923,11.835901,11.319698,10.530832,8.823053,8.636922,10.742484,11.868492,13.823223,9.290442,8.785955,11.253896,13.66644,11.615003,8.412335
"8","ATOH1",0,0,0,0.050309,0.047249,0.057183,0,0,0,1.121086,0.944512,0.688827,0,0,0,0.047944,0,0.045846
"9","ATP10B",0.088703,0.243336,0.138027,0.169852,0.071463,0.125616,0.162204,0,0.129092,0.830695,0.367176,0.394493,1.045127,0.529893,1.960015,0.407559,0.729491,0.56975
"10","ATP13A2",89.632779,88.544083,84.584908,69.419897,64.504165,75.314771,47.428268,59.844019,48.611144,72.822251,80.500236,77.169125,39.962378,38.856589,40.70094,14.811372,13.261041,19.903138
"11","ATP1A3",0.259275,0.762168,0.266573,2.385328,2.714366,1.667189,0.526217,0.745418,0.94075,227.451693,233.44463,230.685345,5.182123,4.587583,3.53239,209.266496,199.843398,239.961469
"12","BST1",28.061731,26.157309,23.22414,15.263661,13.83746,14.563958,24.227337,26.761487,27.65411,2.180969,1.434353,2.031484,22.706079,22.31526,22.050058,1.95745,1.621337,1.391469
"13","BTNL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","CABIN1",27.726837,27.482646,26.146592,29.957668,25.136112,30.423198,24.939686,27.788621,23.980916,40.384052,39.274925,41.247561,30.549197,25.091863,27.594798,74.198109,83.040317,76.347415
"15","CAPS2",6.039532,5.081175,6.061481,3.730175,9.122222,6.636197,2.511964,3.894461,3.618303,20.785909,21.042228,22.896013,20.311314,15.330883,14.378194,12.188813,9.609989,10.828042
"16","CCSER1",0.052549,0.387401,0.107015,0.536377,0.541403,0.122184,0.115077,0.036399,0.055238,5.240027,4.042486,3.173706,0.029011,0.413173,0.110288,1.408088,1.436488,1.423488
"17","CD36",1.609011,0.556145,0.481244,0.185769,0.241046,0.559202,0.257209,0.138017,0.623742,5.369251,6.42924,3.264702,0.952011,0.896979,0.556594,0.304906,0.149591,0.253318
"18","CEL",2.265099,2.0639,2.017572,2.734479,2.543127,2.475806,3.597451,3.321866,4.107132,0.798499,0.719189,0.879324,0.485288,0.856249,0.48673,1.057228,1.237377,0.802366
"19","CHCHD2",0,0.395179,0,37.833896,36.742194,35.656697,185.270647,178.294485,183.763135,280.872409,262.613884,274.896007,0.228894,0.457554,0.249,0,0,0.263945
"20","CLU",644.155047,607.888515,615.942938,885.459372,813.385372,828.267026,449.400147,476.837131,452.166235,1235.615212,1213.661955,1203.383914,22896.602922,22642.777785,22829.44746,906.851906,826.759951,928.413418
"21","COL15A1",1.346286,1.794563,1.504319,4.062049,3.350552,2.916087,3.912889,3.034625,3.108886,0.260703,0.18989,0.177909,0.062729,0.186667,0.017034,0.188264,0.252988,0.017646
"22","COL6A5",0.054791,0.12436,0.078133,0,0,0,0.059248,0.100548,0,0,0,0,0,0,0.009881,0,0,0
"23","COMT",138.913373,129.751364,148.852716,73.941533,78.009293,70.855326,44.704017,46.618028,43.883295,76.342369,75.860628,82.392412,104.719164,102.333856,102.626782,26.810495,26.758483,30.889997
"24","CP",19.722502,20.518024,18.517421,6.782472,5.689946,4.212801,35.082881,33.919734,30.675995,10.750515,12.81484,11.207184,181.881714,164.142764,169.275508,23.779026,21.178453,24.153135
"25","CR1",0.027945,0,0.091082,0.036162,0,0.013694,0,0.024101,0,0.055025,0.030042,0,0.029294,0.010358,0.023619,0.057335,0.03357,0.011596
"26","CSMD1",0,0.017269,0,0,0,0.032721,0.007793,0.029248,0,1.814596,1.75753,1.973964,0,0,0,6.727307,0.118944,0.164433
"27","DARS",49.642635,50.446468,51.396362,67.013156,63.161368,64.91254,55.488392,58.594991,55.004362,104.812908,104.346722,106.558406,86.641358,84.600004,81.321838,75.617796,86.697373,76.098474
"28","DCTN1",115.504886,118.031445,118.324172,95.20252,91.096984,96.587121,94.473017,95.717639,92.133231,169.013997,170.422767,169.354105,122.962446,116.807353,124.064603,82.277653,80.931074,85.385707
"29","DGKQ",9.969461,9.231376,10.346371,12.735146,10.448907,10.187065,9.081384,7.891113,9.385274,15.517198,15.316363,17.212994,13.823944,12.724736,13.443335,7.061646,7.473419,7.700921
"30","DIS3",23.833211,24.70489,24.062573,29.232123,28.888542,28.352407,32.208319,31.587107,30.480061,25.621679,28.340112,27.074898,21.565306,19.694384,21.106572,48.568124,47.283241,51.18401
"31","DNAH8",0,0.007276,0,0.007944,0.014948,0.009024,0.429051,0.016128,0,0.024283,0.006082,0.023603,0,0,0.006522,0.014093,0.007353,0
"32","DNAJC13",20.23708,20.940311,18.528018,15.496146,13.570792,17.626806,16.668881,18.785584,16.108112,19.286247,18.098669,18.559875,17.025107,15.519035,16.844996,11.121684,11.627406,12.917592
"33","DNAJC6",7.324156,7.622029,5.847476,5.778422,3.78531,4.449456,5.894686,7.631888,5.585245,29.724588,32.184778,33.846602,12.141231,11.598541,12.46265,23.781166,21.391677,24.247711
"34","DRD4",21.846708,18.580133,23.734319,34.173908,33.611863,33.020802,31.768507,34.154033,32.530113,4.433379,3.959023,4.618709,4.549565,5.160592,5.532683,18.785782,20.060299,22.42904
"35","EIF4G1",244.135577,216.066335,224.284174,233.26985,222.05999,231.059581,262.65105,255.607431,260.358177,123.075692,121.671816,119.902204,185.907898,188.784238,192.528618,70.219963,64.825823,67.81857
"36","ELOA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","FAM13A",5.680524,6.435355,6.744979,8.846573,7.129743,7.50469,5.064954,5.736861,4.305721,15.42254,15.600784,13.356519,5.940771,6.049921,5.716605,8.259632,9.243414,8.594361
"38","FAM13A-AS1",0.076781,0.299751,0.22306,0.067256,0.271702,0.248991,0.137734,0.215202,0.247834,0.903233,0.754595,0.725903,0.255701,0.324732,0.660844,1.205616,1.779928,1.623315
"39","FAM47E",1.932334,2.405362,3.319335,5.348807,4.136088,6.122253,1.704533,2.258544,1.97879,3.828225,3.800747,3.896362,5.432646,5.446113,4.324473,2.771094,3.452398,2.716367
"40","FAM71A",0,0.043996,0.047785,0,0,0.054655,0,0,0.045433,0,0,0,0,0,0,0.091643,0.089074,0.087634
"41","FAM83A",0,0,0.038788,0.019491,0.057314,0,0.143282,0.225245,0.198419,0,0,0,0,0,0,0,0,0
"42","FAM90A1",0.050879,0.129712,0.253654,0.105864,0.231516,0.05371,0.130274,0.048022,0.044648,0.177466,0.10728,0.149401,0.070526,0.201119,0.478649,0.501519,0.065353,0.501503
"43","FBXO7",78.80594,76.87951,78.270257,73.909541,71.139977,73.059139,83.95049,82.560043,83.418004,51.8137,53.509919,54.571772,60.279142,57.601606,57.547149,57.797577,59.844374,56.74877
"44","FER1L6",0.067622,0.031686,0.034429,0.069197,0.048805,0,0.015896,0.017565,0.016343,0.264033,0.226962,0.146706,0.266024,0.167445,0.334568,0,0,0.015748
"45","GAK",34.219583,38.895162,40.611681,42.708869,38.971672,44.066717,45.719187,38.627865,42.958767,46.930656,43.537406,48.217027,39.541847,41.757804,35.409135,30.650843,27.898818,25.726675
"46","GALNT3",0.419046,1.798984,1.074358,0.220761,0.498989,0.156778,0.771594,0.33632,0.460624,1.121548,2.041875,3.742155,1.122112,1.196916,0.823484,0.560669,0.255493,0.198914
"47","GBA",42.798305,42.75229,43.532451,26.961749,23.589916,26.979758,37.1501,37.165305,35.361256,26.520777,25.380465,25.397978,93.246474,88.206298,85.98736,8.49076,8.523603,9.600336
"48","GCH1",13.954214,13.932658,14.491283,10.802801,10.063179,11.873813,5.324252,4.990218,4.5796,1.292876,1.155104,1.138295,0.51389,0.326494,0.689673,2.975261,3.637123,3.92076
"49","GH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","GIGYF2",29.071838,29.858816,26.742057,31.556998,29.686676,30.646422,26.52411,30.702704,26.102324,48.839945,49.104828,51.551713,34.537353,30.504471,35.564004,37.461269,38.009674,38.209014
"51","GPATCH2L",21.850352,14.608782,20.411429,17.890914,16.042152,18.954017,18.530142,18.911026,19.528031,35.334416,33.212836,33.320771,17.338923,15.745191,19.049225,29.67998,27.903133,29.41048
"52","GPRIN3",0.098597,0.112143,0.12915,0.352608,0.305177,0.34741,0.015245,0.036578,0.02637,11.063699,10.590051,11.163232,0.536643,0.55787,0.525547,0.430131,0.315618,0.328475
"53","GRAMD1C",7.113723,5.657045,4.731964,7.600815,6.82652,10.130738,10.052243,9.698294,8.115931,4.411651,2.604842,3.844958,1.924827,3.168687,1.6398,2.023629,2.012514,1.825072
"54","GRID2",1.317146,1.086299,0.827661,0.108953,0.162205,0.132257,0.036634,0.066398,0,5.429113,5.47365,4.7134,23.605616,21.097495,23.850141,0.686465,0.475056,0.558047
"55","GRN",159.186793,157.39257,156.813645,87.487522,91.065514,88.711856,112.33271,120.346164,114.843962,72.415878,77.710306,77.085588,252.376462,247.41611,246.608369,38.166084,36.676294,42.781303
"56","HERC3",2.58663,1.629319,2.544051,3.585056,2.706936,2.667172,1.630918,3.254234,2.005272,9.296887,9.917044,8.50378,7.270593,5.070741,5.243418,11.429781,13.531177,12.844537
"57","HERC5",0.578852,0.493272,0.516537,0.366627,0.516972,0.381888,2.073221,2.251904,1.997044,0.837827,0.575154,0.710667,17.260728,18.377166,16.452039,3.054653,3.16622,2.8362
"58","HERC6",1.547843,1.449945,1.153289,0.278331,0.292428,0.865019,1.325377,1.261296,1.148944,0.594355,0.893388,0.544906,14.161317,13.867034,14.521548,0.66448,0.319794,0.50312
"59","HLA-DRA",0.408629,0.513812,1.673186,0,0.097903,0.118834,0,0,0.098717,0.188753,0.084643,0.217749,202.76297,207.291234,209.935299,1.968691,0.955659,1.881633
"60","HTRA2",34.741961,30.86885,31.398531,32.274054,35.535066,34.841974,34.671029,32.294549,34.884098,44.783346,48.35372,46.789455,35.923904,32.972771,28.451048,25.926112,22.050376,25.528644
"61","IFI35",10.491471,8.515786,11.435659,1.177097,2.61466,1.429583,4.540828,8.227517,5.574659,3.201999,1.892817,2.112247,44.240087,41.060426,42.390366,3.342448,2.567687,1.922346
"62","ITPR1",3.778551,3.962883,4.046214,4.660816,5.858288,5.478751,2.347689,3.027091,2.574598,2.752868,2.220258,2.065617,14.919319,14.748787,16.304388,1.009451,1.23261,2.358862
"63","KALRN",6.526624,7.460493,8.259197,11.545643,10.253858,11.486758,12.039054,12.477045,11.678688,43.838192,35.397066,39.546716,4.656883,4.051691,5.056476,17.155375,14.946079,14.262017
"64","KCNK16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
